,0,1,2
0,520,596,2
1,737,417,3
2,621,779,4
3,707,675,3
4,12,658,3
5,220,107,3
6,804,247,4
7,261,973,3
8,633,20,2
9,312,22,4
10,200,9,3
11,544,683,4
12,814,135,5
13,22,738,2
14,302,784,3
15,373,482,3
16,896,0,5
17,706,159,5
18,770,82,5
19,222,331,4
20,50,704,1
21,887,868,4
22,200,155,4
23,224,417,5
24,275,63,5
25,270,1119,2
26,569,257,3
27,249,983,3
28,263,653,5
29,750,41,5
30,757,410,4
31,89,653,5
32,659,526,3
33,94,714,1
34,668,346,3
35,448,99,5
36,337,169,5
37,565,201,4
38,180,1327,1
39,851,256,4
40,105,24,4
41,816,8,3
42,441,341,2
43,720,334,3
44,193,1411,2
45,585,183,2
46,314,530,5
47,373,110,2
48,766,299,4
49,95,143,4
50,850,326,4
51,58,432,5
52,716,741,5
53,188,606,4
54,377,432,4
55,140,117,5
56,180,988,1
57,456,56,4
58,451,242,5
59,405,114,4
60,331,248,3
61,386,1007,4
62,843,945,3
63,642,520,4
64,886,577,4
65,449,9,4
66,878,684,4
67,153,301,4
68,0,265,1
69,373,929,2
70,763,98,4
71,395,870,2
72,586,346,3
73,215,415,3
74,853,22,4
75,63,97,4
76,86,1071,3
77,607,156,1
78,613,285,2
79,313,24,3
80,441,171,5
81,416,1445,3
82,877,99,2
83,895,140,3
84,175,239,4
85,393,384,5
86,788,92,4
87,617,505,4
88,632,299,4
89,489,1385,4
90,422,271,5
91,404,1443,2
92,922,120,4
93,803,482,5
94,663,457,3
95,387,299,4
96,667,346,4
97,615,332,2
98,144,750,4
99,207,203,3
100,660,172,4
101,714,788,4
102,560,672,3
103,726,365,3
104,763,293,3
105,592,99,5
106,55,754,3
107,404,648,1
108,714,226,3
109,941,96,5
110,530,889,1
111,338,175,4
112,345,210,4
113,922,454,4
114,392,458,4
115,58,968,3
116,824,869,3
117,329,1043,5
118,795,181,4
119,393,575,2
120,327,175,5
121,310,1231,4
122,649,656,4
123,895,244,4
124,61,284,4
125,424,575,3
126,386,941,4
127,330,179,5
128,292,1227,1
129,275,1128,4
130,587,1310,1
131,353,256,3
132,229,0,5
133,194,412,3
134,324,484,3
135,325,427,5
136,429,292,3
137,5,472,2
138,723,312,5
139,845,126,5
140,471,207,5
141,436,180,4
142,157,409,3
143,756,160,3
144,591,2,4
145,906,1325,4
146,435,101,4
147,929,147,1
148,12,548,4
149,27,10,4
150,923,287,3
151,885,65,3
152,310,133,5
153,393,71,4
154,882,510,4
155,857,306,3
156,723,258,2
157,853,923,4
158,37,143,5
159,23,581,4
160,607,1220,2
161,311,180,4
162,256,323,5
163,789,377,3
164,144,121,1
165,336,256,3
166,179,201,3
167,697,706,2
168,896,54,3
169,386,55,5
170,395,124,3
171,89,835,5
172,654,730,3
173,373,224,3
174,397,210,4
175,847,480,3
176,32,244,3
177,534,426,4
178,657,49,4
179,754,689,5
180,654,181,4
181,626,186,5
182,115,144,2
183,749,872,3
184,234,51,4
185,270,76,4
186,342,332,3
187,302,220,5
188,743,155,4
189,362,571,2
190,392,50,4
191,915,6,4
192,547,8,1
193,795,721,3
194,404,201,4
195,302,596,1
196,726,537,3
197,408,190,5
198,205,1023,1
199,564,1621,4
200,720,228,5
201,199,422,5
202,570,190,4
203,757,487,3
204,544,568,3
205,293,267,4
206,127,685,4
207,392,281,4
208,568,150,5
209,488,287,4
210,390,199,5
211,275,1094,1
212,356,293,4
213,693,656,4
214,428,431,4
215,885,155,4
216,458,254,4
217,428,767,3
218,726,157,2
219,404,47,1
220,626,147,3
221,17,196,4
222,746,704,5
223,756,745,3
224,503,728,5
225,294,98,4
226,703,21,2
227,364,288,3
228,915,731,3
229,620,93,2
230,715,491,3
231,765,484,3
232,314,99,5
233,200,197,4
234,214,203,3
235,256,136,4
236,446,230,2
237,378,418,4
238,541,94,3
239,285,236,2
240,380,692,4
241,660,513,3
242,748,685,4
243,536,791,3
244,662,1008,3
245,17,7,5
246,381,22,5
247,882,196,4
248,401,479,5
249,428,403,4
250,446,543,4
251,452,157,2
252,195,380,4
253,326,392,3
254,307,1403,4
255,612,63,5
256,214,473,4
257,636,1101,3
258,350,897,5
259,183,475,2
260,891,185,3
261,313,1262,2
262,241,305,5
263,846,403,3
264,392,1062,4
265,295,99,5
266,434,365,2
267,526,1210,3
268,342,158,2
269,503,64,4
270,388,628,2
271,372,185,5
272,941,527,5
273,173,150,3
274,127,481,4
275,428,561,2
276,649,65,3
277,836,276,2
278,20,980,2
279,120,507,4
280,345,173,5
281,444,761,1
282,424,243,1
283,647,499,5
284,621,473,3
285,659,271,4
286,13,175,1
287,781,1255,2
288,528,689,3
289,505,62,4
290,886,227,4
291,501,686,4
292,682,682,3
293,196,310,4
294,795,209,3
295,356,596,4
296,59,88,5
297,587,761,4
298,866,185,5
299,317,380,1
300,824,981,5
301,298,288,3
302,289,179,1
303,163,298,4
304,0,179,3
305,681,768,2
306,885,27,4
307,628,880,3
308,55,117,4
309,61,237,5
310,526,191,4
311,710,339,5
312,14,936,4
313,243,31,2
314,390,510,5
315,57,192,3
316,392,750,2
317,681,747,3
318,36,49,5
319,311,643,5
320,644,185,4
321,835,895,3
322,638,989,1
323,730,477,4
324,803,242,3
325,847,264,4
326,605,197,4
327,473,696,4
328,598,1094,4
329,526,465,2
330,221,98,3
331,223,948,3
332,710,184,4
333,608,537,1
334,607,694,5
335,405,574,1
336,22,1005,3
337,331,49,5
338,221,147,2
339,455,709,3
340,58,175,5
341,549,327,5
342,885,782,1
343,168,878,5
344,433,117,5
345,84,315,3
346,750,567,3
347,269,221,5
348,94,93,5
349,330,233,4
350,428,6,2
351,579,150,2
352,917,497,4
353,193,24,2
354,313,275,1
355,197,227,3
356,665,612,5
357,364,341,2
358,71,549,4
359,473,492,4
360,166,236,4
361,757,343,3
362,721,117,4
363,168,198,4
364,936,241,3
365,404,1418,2
366,495,163,3
367,384,28,1
368,840,332,4
369,646,992,4
370,347,410,4
371,431,273,3
372,471,1033,3
373,270,495,5
374,221,43,3
375,860,1226,4
376,78,302,4
377,404,7,4
378,382,513,5
379,693,81,5
380,772,356,4
381,585,91,3
382,61,1134,2
383,670,577,3
384,200,1397,4
385,456,264,5
386,508,602,4
387,349,186,5
388,797,274,4
389,485,249,1
390,404,668,1
391,560,804,3
392,4,368,1
393,795,61,4
394,547,225,5
395,805,0,4
396,870,146,5
397,505,45,3
398,933,95,4
399,344,78,4
400,181,177,5
401,150,482,5
402,869,1209,1
403,886,221,3
404,1,313,1
405,188,1400,4
406,221,839,3
407,789,357,2
408,331,81,5
409,698,1335,3
410,534,952,5
411,404,1030,1
412,434,384,5
413,858,312,5
414,610,312,3
415,424,179,4
416,388,63,4
417,886,55,5
418,400,518,4
419,647,1625,1
420,942,372,3
421,262,660,5
422,876,269,4
423,91,0,4
424,531,104,3
425,392,120,4
426,523,415,4
427,746,714,5
428,198,13,4
429,382,603,5
430,22,448,2
431,449,1520,3
432,718,68,5
433,471,385,5
434,174,8,4
435,196,257,4
436,27,448,2
437,719,309,4
438,467,282,4
439,685,180,4
440,345,150,4
441,391,57,4
442,454,49,5
443,235,50,5
444,659,1134,2
445,776,520,5
446,789,50,3
447,544,545,3
448,56,198,5
449,536,460,3
450,536,872,2
451,150,8,4
452,9,469,4
453,563,117,4
454,307,578,3
455,616,218,4
456,391,1011,4
457,206,317,5
458,692,96,5
459,307,140,3
460,457,180,2
461,585,805,4
462,638,1192,4
463,129,46,3
464,600,238,3
465,879,392,3
466,150,434,4
467,415,864,3
468,388,656,5
469,462,474,3
470,748,177,4
471,704,254,5
472,770,693,3
473,797,784,3
474,292,244,3
475,304,130,3
476,338,514,5
477,314,326,4
478,654,86,3
479,242,224,3
480,668,275,2
481,886,831,2
482,28,305,4
483,248,788,5
484,693,510,5
485,335,741,3
486,894,282,4
487,304,197,4
488,879,236,4
489,620,566,3
490,820,1196,5
491,798,1062,4
492,143,392,4
493,877,115,2
494,623,686,2
495,335,167,5
496,317,228,1
497,267,1058,3
498,360,217,3
499,349,0,4
500,874,180,4
501,255,367,1
502,683,408,3
503,274,98,3
504,560,209,3
505,335,764,4
506,144,1278,1
507,362,736,1
508,69,583,3
509,623,1011,4
510,591,1133,5
511,473,67,3
512,193,769,4
513,732,281,3
514,813,673,3
515,384,196,4
516,845,1147,3
517,796,126,4
518,64,69,1
519,662,150,3
520,392,714,1
521,91,1048,1
522,108,929,3
523,789,202,4
524,19,207,2
525,342,526,5
526,342,659,3
527,850,983,3
528,623,277,4
529,501,342,5
530,605,805,5
531,117,546,5
532,93,337,4
533,639,341,5
534,746,300,1
535,483,120,4
536,89,56,5
537,693,99,4
538,264,747,5
539,75,850,4
540,494,738,4
541,229,141,4
542,82,322,4
543,290,1477,2
544,737,1015,3
545,712,881,3
546,233,182,4
547,55,449,3
548,649,442,5
549,437,814,5
550,653,142,5
551,93,180,4
552,487,237,1
553,219,293,4
554,410,227,3
555,307,527,3
556,192,351,1
557,456,738,4
558,782,334,3
559,253,173,5
560,298,846,4
561,935,123,4
562,746,692,5
563,82,203,5
564,116,788,4
565,134,942,3
566,869,812,4
567,76,49,4
568,85,269,5
569,900,12,1
570,315,529,2
571,376,1104,3
572,889,673,3
573,942,67,4
574,369,11,4
575,287,177,5
576,715,259,1
577,591,136,5
578,737,925,3
579,803,925,4
580,560,48,2
581,837,717,5
582,103,282,4
583,789,172,3
584,401,863,3
585,1,289,3
586,212,11,5
587,444,1010,1
588,248,251,2
589,675,249,4
590,24,175,4
591,199,551,4
592,842,126,2
593,793,49,5
594,220,1313,3
595,263,287,5
596,879,1517,2
597,651,256,2
598,253,68,5
599,200,545,2
